College,CSE,ECE,ME,EE,IT,SE,CSE-AI,CSE-DS,MCE,AI_DS
DTU,11352,16466,20458,25266,14561,19027,NA,NA,NA,NA
NSUT,10907,12614,NA,NA,16301,NA,7946,12614,20967,NA
IIIT Delhi,19158,20531,20194,NA,NA,NA,NA,NA,NA,NA
IGDTUW,13700,13700,NA,NA,13700,NA,NA,NA,NA,NA
NIT Delhi,6746,9720,30000,20000,NA,NA,NA,NA,NA,6610
IPU Main Campus,10000,18000,NA,20000,15000,NA,NA,NA,NA,NA
MAIT,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSIT,65000,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVP,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCE,55000,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTBIT,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA
JMI,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA
USICT,45000,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADGITM,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA
BVCOE,35000,NA,NA,NA,NA,NA,NA,NA,NA,NA
HMRITM,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIEC,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maharaja Surajmal,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA
BPIT,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambedkar Institute,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA
